Course Code,Course Title,Credits (L-T-P-S-C),Faculty
MA261,Differential Equations,,Dr. Anand Bar
MA262,Multivariate Calculus,,Dr. Somen Bhattacharjee
CS261,Operating Systems,3-0-0-4-2,Dr. Suvadip Harma
CS262,Software design tools and technique,2-0-3-0-3,Dr. Sunil P V/Dr. Vivekraj
CS263,Design & Analysis of Algorithms,3-0-0-0-4,Dr. Malay/Dr. Pramod Y
CS264,Computer Networks,3-1-0-0-4,Dr. Prabhu Prasad BM
NEW,HSS (Ethics Values) & Environmental Studies,2+1,TBD
NEW,Electronics System Design,2,Dr. Pankaj
CS162,Data Science with Python,,A
NEW,3D Computer Graphics,1,Vivek VK
,Linear Algebra,3-1-0-0-2,Dr. Somen Bhattacharjee
CS6,Data Structures & Algorithms,3-0-2-0-4,Dr. Suvadip Harma
,Economics/Innovation and Entrepreneurship,2-1-0-0-3,Dr. Deepak K T
,Mathematical foundations of Computing,3-0-0-0-3,Dr. Animesh Roy
,Linux for Engineers,3-1-0-0-2,Dr. Shirshendu L
,Introduction to Holistic Personality Development,3-0-0-0-1,Prof. Chachadi and Dr. Chandrika K
,Photography 101,3-0-0-0-1,Dr. Prabhu Prasad BM
,Visual Design-PAPC,3-1-0-0-2,Dr. Sandesh Phalke
